account;period;creation_date;buy;amount;times
1670488;202303;2013-05-26 18:47:31.641361;1;372559;5
1116740;202303;2024-01-06 07:54:20.641361;0;0;0
1026226;202303;2020-06-12 21:50:24.641361;0;0;0
1777573;202303;2017-03-22 12:47:05.641361;0;0;0
1288390;202303;2014-04-26 22:31:16.641361;1;819657;5
1256788;202303;2019-01-09 14:53:06.641361;1;122061;5
1234054;202303;2007-07-30 02:08:57.641361;0;0;0
1146317;202303;2011-12-21 14:44:01.641361;0;0;0
1772247;202303;2018-03-27 06:03:53.641361;1;979656;5
1107474;202303;2023-07-01 08:51:41.641361;0;0;0
1709571;202303;2013-11-20 08:20:17.641361;1;847627;3
1776647;202303;2020-11-08 09:49:11.641361;1;841006;3
1935519;202303;2014-02-01 05:40:06.641361;1;384138;5
1571859;202303;2022-07-20 23:28:05.641361;0;0;0
1091162;202303;2021-08-24 06:36:25.641361;1;348683;2
1619177;202303;2012-09-24 12:11:18.641361;1;590380;4
1442418;202303;2017-06-02 22:56:23.641361;0;0;0
1033327;202303;2004-12-29 11:02:42.641361;0;0;0
1031245;202303;2021-04-27 11:38:23.641361;0;0;0
1098247;202303;2017-10-20 14:27:23.641361;1;627167;4
1229259;202303;2017-02-02 18:32:53.641361;0;0;0
1243963;202303;2023-01-03 05:27:53.641361;0;0;0
1529904;202303;2008-02-04 12:13:26.641361;1;114756;3
1631263;202303;2019-10-19 04:05:49.641361;1;737807;3
1027825;202303;2012-01-13 01:57:44.641361;0;0;0
1588509;202303;2024-01-27 04:28:44.641361;0;0;0
1208497;202303;2005-04-03 21:29:53.641361;1;851582;3
1750801;202303;2017-12-05 15:02:59.641361;0;0;0
1681454;202303;2012-04-22 04:22:05.641361;0;0;0
1735393;202303;2019-08-15 17:35:25.641361;1;379327;3
1571413;202303;2016-12-28 12:48:23.641361;0;0;0
1439899;202303;2020-08-19 02:13:53.641361;1;578390;3
1231149;202303;2023-07-28 04:12:54.641361;0;0;0
1471030;202303;2008-02-12 12:20:58.641361;1;487192;3
1617890;202303;2014-12-23 16:11:48.641361;0;0;0
1291705;202303;2015-09-20 21:57:07.641361;0;0;0
1848750;202303;2009-04-20 06:39:20.641361;1;937554;3
1911528;202303;2007-04-03 22:11:03.641361;1;218278;3
1006815;202303;2007-08-28 00:05:48.641361;0;0;0
1795668;202303;2023-06-29 23:48:12.641361;0;0;0
1844963;202303;2010-03-02 23:41:33.641361;0;0;0
1167415;202303;2011-06-23 12:43:23.641361;1;303951;5
1732053;202303;2021-01-27 17:10:04.641361;0;0;0
1443144;202303;2012-11-30 01:23:08.641361;1;623584;2
1356779;202303;2007-04-07 02:00:41.641361;1;275837;4
1291370;202303;2009-03-20 22:41:32.641361;1;293701;3
1163033;202303;2018-02-16 06:49:22.641361;1;935670;5
1225773;202303;2020-07-09 04:27:22.641361;0;0;0
1800582;202303;2022-03-21 05:01:46.641361;0;0;0
1352945;202303;2023-09-09 11:56:07.641361;1;454160;3
1107176;202303;2012-04-26 02:05:06.641361;1;721981;2
1097252;202303;2006-05-31 22:38:54.641361;1;407583;3
1398383;202303;2021-03-13 12:46:56.641361;1;342735;4
1101415;202303;2012-12-25 14:15:00.641361;1;665909;5
1376418;202303;2018-06-03 22:49:01.641361;0;0;0
1888663;202303;2015-01-03 04:16:06.641361;0;0;0
1360664;202303;2015-11-27 10:24:29.641361;1;735002;2
1633053;202303;2009-07-14 06:58:53.641361;0;0;0
1277371;202303;2005-08-26 06:39:17.641361;1;749726;4
1846336;202303;2015-05-07 07:18:44.641361;1;255916;3
1045562;202303;2023-08-24 00:11:17.641361;0;0;0
1765180;202303;2018-03-29 18:46:55.641361;1;641622;3
1481742;202303;2004-08-06 19:03:18.641361;0;0;0
1562276;202303;2013-07-13 22:32:22.641361;1;180959;2
1130890;202303;2011-07-12 16:45:03.641361;1;673845;2
1967097;202303;2023-07-18 22:22:29.641361;1;971402;4
1396923;202303;2021-01-14 05:40:53.641361;1;426225;5
1082628;202303;2022-12-21 21:23:17.641361;0;0;0
1578857;202303;2021-06-01 00:58:46.641361;0;0;0
1307420;202303;2015-01-22 13:55:11.641361;1;179304;4
1869694;202303;2012-06-06 05:12:17.641361;1;28161;3
1659177;202303;2015-05-12 05:07:04.641361;0;0;0
1648565;202303;2020-02-09 06:46:34.641361;1;513795;3
1928464;202303;2020-11-04 00:28:39.641361;1;603824;5
1903566;202303;2021-11-29 16:15:55.641361;0;0;0
1379202;202303;2023-04-15 10:54:55.641361;0;0;0
1605398;202303;2007-03-07 13:56:09.641361;1;97066;4
1201630;202303;2007-12-25 23:45:55.641361;1;485164;5
1738798;202303;2018-11-22 23:46:59.641361;1;683089;4
1072934;202303;2007-01-17 17:48:37.641361;0;0;0
1048051;202303;2017-03-11 09:56:17.641361;1;379469;4
1693385;202303;2008-09-27 08:41:13.641361;0;0;0
1238969;202303;2004-11-14 20:52:54.641361;0;0;0
1810621;202303;2009-12-03 23:21:47.641361;1;731084;3
1303446;202303;2022-02-06 03:03:43.641361;1;861666;5
1083668;202303;2008-07-17 05:20:31.641361;1;817989;5
1896866;202303;2010-01-23 23:23:14.641361;1;914464;2
1244099;202303;2011-02-15 08:23:28.641361;1;109831;5
1908574;202303;2019-04-19 20:52:01.641361;0;0;0
1105908;202303;2008-04-11 02:59:37.641361;1;85881;4
1398592;202303;2005-09-26 23:53:14.641361;0;0;0
1291477;202303;2018-11-04 02:29:04.641361;1;330966;4
1475436;202303;2021-04-04 11:44:54.641361;0;0;0
1666564;202303;2010-03-21 05:03:17.641361;0;0;0
1874629;202303;2022-04-04 22:00:06.641361;1;373487;4
1382555;202303;2020-12-26 04:17:43.641361;0;0;0
1170556;202303;2009-03-02 17:41:10.641361;0;0;0
1388163;202303;2023-01-09 11:40:50.641361;0;0;0
1372529;202303;2018-08-21 02:30:45.641361;1;431775;3
1219685;202303;2017-12-31 04:35:15.641361;0;0;0
1702730;202303;2004-09-21 14:40:17.641361;1;980381;3
1279947;202303;2014-07-04 10:39:00.641361;1;878714;3
1735912;202303;2008-05-29 19:47:16.641361;0;0;0
1982154;202303;2019-03-24 11:59:53.641361;0;0;0
1716752;202303;2014-06-03 00:49:52.641361;0;0;0
1679515;202303;2013-08-19 18:12:33.641361;0;0;0
1074871;202303;2022-03-09 16:58:08.641361;0;0;0
1638721;202303;2015-05-19 00:37:17.641361;1;44618;5
1665823;202303;2017-01-20 00:42:48.641361;1;271667;2
1179452;202303;2023-08-05 08:12:17.641361;1;340917;3
1560087;202303;2010-01-20 20:26:07.641361;1;487812;3
1764545;202303;2009-03-23 06:28:36.641361;0;0;0
1256703;202303;2014-04-13 23:46:12.641361;1;881846;3
1171340;202303;2022-03-19 06:58:12.641361;0;0;0
1484715;202303;2011-05-14 12:19:43.641361;1;806714;3
1397888;202303;2017-01-15 07:49:18.641361;1;162364;4
1283061;202303;2022-01-30 04:15:51.641361;1;109556;4
1970343;202303;2012-12-15 20:16:07.641361;0;0;0
1671089;202303;2020-06-21 17:30:42.641361;0;0;0
1721591;202303;2020-02-28 00:35:49.641361;1;367010;5
1584005;202303;2011-07-30 00:12:49.641361;0;0;0
1230284;202303;2015-08-23 20:23:08.641361;1;373272;2
1717871;202303;2009-01-05 11:42:43.641361;1;383221;5
1340036;202303;2009-12-30 15:09:49.641361;0;0;0
1883795;202303;2022-04-02 07:10:28.641361;1;776405;5
1805636;202303;2020-07-13 14:34:05.641361;0;0;0
1813695;202303;2004-09-28 14:29:34.641361;0;0;0
1058656;202303;2015-03-21 15:21:13.641361;1;332913;4
1240175;202303;2018-07-29 04:23:58.641361;0;0;0
1861723;202303;2010-07-04 21:22:49.641361;0;0;0
1033660;202303;2009-07-11 00:34:01.641361;1;360647;2
1844152;202303;2020-06-01 15:20:35.641361;1;536688;2
1330777;202303;2006-09-09 19:03:25.641361;0;0;0
1420652;202303;2004-08-07 04:11:56.641361;1;170498;3
1280747;202303;2015-01-07 23:15:48.641361;0;0;0
1069404;202303;2010-10-17 21:17:18.641361;0;0;0
1221232;202303;2011-03-10 23:05:51.641361;0;0;0
1957493;202303;2007-08-08 20:25:11.641361;1;537480;3
1988713;202303;2022-09-15 05:52:31.641361;1;235224;4
1594732;202303;2020-01-05 18:04:21.641361;1;66426;2
1918939;202303;2015-09-03 12:16:56.641361;0;0;0
1752788;202303;2007-08-19 14:55:50.641361;0;0;0
1329964;202303;2006-06-27 23:19:00.641361;1;91254;3
1222956;202303;2020-05-10 06:40:10.641361;1;433954;2
1687278;202303;2009-09-24 21:08:24.641361;0;0;0
1523482;202303;2006-09-06 08:44:00.641361;1;253060;2
1414851;202303;2016-05-01 19:49:35.641361;1;746505;2
1927658;202303;2023-06-08 12:00:31.641361;1;994452;5
1958973;202303;2012-02-06 13:08:08.641361;0;0;0
1674080;202303;2016-02-23 12:46:26.641361;0;0;0
1481142;202303;2004-11-21 03:29:32.641361;0;0;0
1149812;202303;2010-12-18 14:31:31.641361;0;0;0
1277747;202303;2013-10-01 22:04:02.641361;0;0;0
1146414;202303;2014-01-29 07:27:17.641361;1;500812;4
1258608;202303;2018-11-28 18:03:55.641361;0;0;0
1781178;202303;2024-04-18 01:41:36.641361;0;0;0
1588638;202303;2014-10-24 06:47:41.641361;0;0;0
1565159;202303;2016-11-26 21:11:08.641361;1;849326;5
1275505;202303;2018-02-17 04:40:50.641361;1;987034;4
1783301;202303;2013-01-28 11:10:18.641361;1;126648;2
1612983;202303;2023-07-02 19:28:12.641361;0;0;0
1449246;202303;2022-10-26 01:48:47.641361;1;986565;2
1941436;202303;2011-04-21 05:28:07.641361;0;0;0
1611879;202303;2007-01-17 09:21:47.641361;0;0;0
1418802;202303;2009-08-05 18:47:01.641361;0;0;0
1379581;202303;2007-11-30 07:04:52.641361;1;86886;5
1229975;202303;2011-10-10 09:23:30.641361;0;0;0
1145052;202303;2013-12-08 02:08:55.641361;0;0;0
1534278;202303;2010-06-23 16:47:25.641361;1;765644;3
1517489;202303;2013-05-10 05:24:28.641361;1;965675;2
1095326;202303;2023-08-03 11:16:56.641361;1;829557;2
1792496;202303;2007-11-22 03:58:23.641361;1;484503;3
1049406;202303;2008-09-20 04:10:30.641361;1;218827;4
1902932;202303;2022-03-07 16:33:41.641361;1;679146;5
